movie_id,title,release_date,runtime,budget
228326,The Book of Life,10/1/2014,95,50000000
228205,The Longest Ride,4/9/2015,128,34000000
228203,"McFarland, USA",2/20/2015,128,0
228194,The Hundred-Foot Journey,8/6/2014,122,22000000
228165,The SpongeBob Movie: Sponge Out of Water,2/5/2015,93,74000000
228161,Home,3/18/2015,94,135000000
228150,Fury,10/15/2014,135,68000000
228066,Victor Frankenstein,11/10/2015,109,40000000
227975,Futuro Beach,5/1/2014,106,0
227973,The Peanuts Movie,11/5/2015,88,99000000
227783,The Nut Job,1/17/2014,85,0
227735,Dolphin Tale 2,9/12/2014,107,36000000
227719,Project Almanac,1/30/2015,106,12000000
227707,The Adventurer: The Curse of the Midas Box,12/5/2013,99,25000000
227348,Paranormal Activity: The Marked Ones,1/1/2014,84,5000000
227306,Unbroken,12/25/2014,137,65000000
227159,Horrible Bosses 2,11/26/2014,108,42000000
227156,The Giver,8/11/2014,94,25000000
226857,Endless Love,2/12/2014,103,20000000
226486,Tammy,7/2/2014,97,20000000
226458,Backmask,1/16/2015,91,0
226354,The Christmas Candle,11/22/2013,100,0
225886,Sex Tape,7/17/2014,97,40000000
225574,Non-Stop,1/26/2014,106,50000000
225565,That Awkward Moment,1/29/2014,94,8000000
225235,The Geographer Drank His Globe Away,7/26/2013,120,0
224569,Taxman,9/16/1999,104,0
224141,Into the Woods,12/25/2014,125,50000000
223702,Sausage Party,7/11/2016,83,19000000
223485,Slow West,4/16/2015,84,0
222936,Aloha,5/27/2015,105,37000000
222935,The Fault in Our Stars,5/16/2014,125,12000000
222899,About Last Night,2/14/2014,100,12500000
222649,Rosewater,11/7/2014,103,0
222250,A True Story,9/20/2013,96,0
220490,Her Cry: La Llorona Investigation,4/19/2013,89,0
220488,My Lucky Star,9/17/2013,114,0
219716,Sparkler,3/19/1999,96,0
218778,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",10/8/2014,81,28000000
218500,The Ballad of Gregorio Cortez,8/19/1983,104,0
218043,Left Behind,10/3/2014,110,16000000
217708,Of Horses and Men,8/30/2013,85,10
216282,Into the Storm,8/6/2014,89,50000000
216015,Fifty Shades of Grey,2/11/2015,125,40000000
215924,The Amazing Catfish,8/10/2013,87,1300000
215918,1982,12/31/2013,90,1000000
215881,Plush,9/13/2013,98,0
215211,Grace of Monaco,5/14/2014,103,30000000
214756,Ted 2,6/25/2015,115,68000000
211954,Instructions Not Included,7/20/2013,115,5500000
211672,Minions,6/17/2015,91,74000000
211557,Vessel,10/28/2012,14,0
211086,Faith Connections,11/21/2013,115,550000
210860,Mortdecai,1/21/2015,106,60000000
210577,Gone Girl,10/1/2014,145,61000000
209451,Jersey Boys,6/5/2014,134,40000000
209403,Bad Words,9/6/2013,88,9500000
209274,Ida,10/25/2013,80,2159280
209263,Enough Said,9/18/2013,93,0
209112,Batman v Superman: Dawn of Justice,3/23/2016,151,250000000
208869,Plastic,4/30/2014,102,10
208763,Forbidden Kingdom,1/30/2014,127,26000000
208134,Bad Grandpa,10/22/2013,92,15000000
207769,Banshee Chapter,8/26/2013,87,950000
206647,Spectre,10/26/2015,148,245000000
206563,Trash,10/9/2014,112,0
206412,Lisa Picard Is Famous,5/14/2000,90,0
206296,The Last Five Years,11/3/2014,94,0
206284,Grace Unplugged,10/4/2013,102,0
206213,Zombie Hunter,7/25/2013,93,0
206197,The Sisterhood of Night,4/10/2015,104,0
205775,In the Heart of the Sea,11/20/2015,122,100000000
205596,The Imitation Game,11/14/2014,113,14000000
205588,Our Kind of Traitor,5/5/2016,108,0
205587,The Judge,10/8/2014,141,50000000
205584,Gods of Egypt,2/25/2016,127,140000000
205321,Sharknado,7/11/2013,86,1000000
205220,Philomena,11/1/2013,98,12000000
205126,Independence Daysaster,6/27/2013,86,1800000
204922,Before I Go to Sleep,9/3/2014,92,22000000
204082,Homefront,11/27/2013,100,22000000
203833,The Book Thief,11/8/2013,131,0
203801,The Man from U.N.C.L.E.,8/13/2015,116,75000000
202604,The Vatican Exorcisms,5/29/2013,0,0
202575,Thunder and the House of Magic,12/24/2013,85,34000000
201132,Antarctica: A Year on Ice,9/5/2013,92,1000000
201088,Blackhat,1/13/2015,133,70000000
200505,Draft Day,4/11/2014,109,25000000
